"date","daten","pack","indiv","sex","agecategory","status","stend","code","exact","lseen","cause","litter"
2005-08-25,38589,"12","HF016","F","AD","MULTI","","BIRTH","Y","","","V0503"
2005-08-25,38589,"12","HF021","F","AD","MULTI","","BIRTH","Y","","","V0503"
2005-08-25,38589,"12","V0503","","","","","BORN","Y","","","V0503"
2005-08-25,38589,"12","VP030","P","PUP","","START","BORN","Y","","","V0503"
2005-08-25,38589,"12","VM029","M","PUP","","START","BORN","Y","","","V0503"
2005-11-16,38672,"2","","","","","","IGI","Y","","1N",""
2005-11-16,38672,"4B","","","","","","IGI","Y","","11",""
2005-11-16,38672,"11","","","","","","IGI","Y","","4B",""
2005-11-16,38672,"11","DP066","P","PUP","","END","ADIED","Y","","AKILLED","D0504"
2005-11-16,38672,"11","DP069","P","PUP","","END","ADIED","Y","","AKILLED","D0504"
2005-11-16,38672,"11","DP070","P","PUP","","END","ADIED","Y","","AKILLED","D0504"
2004-08-23,38222,"1N","TM100","M","AD","","","DEPART","N","","",""
2004-08-23,38222,"2","TM100","M","AD","","","RETURN","N","","",""
2004-08-23,38222,"1B","9B","F","AD","MULTI","","BIRTH","Y","","","B0404"
2004-08-23,38222,"11","DF046","F","PUP","IND","END","ADIED","Y","","SICK","D0402"
2005-12-27,38713,"4B","FF058","F","AD","MULTI","","BIRTH","N","23/12/2005","","F0504"
2011-07-02,40726,"1B","BP532","P","PUP","DEP","START","BORN","Y","","","B1103"
2001-07-29,37101,"11","BC","M","AD","","","RETURN","Y","","F",""
2001-07-29,37101,"11","8R","M","AD","","","RETURN","Y","","F",""
2014-07-25,41845,"1B","BP652","P","PUP","DEP","START","BORN","Y","","","B1404"
2014-05-05,41764,"21","VF139","F","AD","MULTI","","BIRTH","N","30/04/2014","","V1401"
2015-08-03,42219,"7A","","","","","","SOES","Y","","","ESG1503"
2016-03-09,42438,"7A","GM140","M","AD","","STOP","EM","Y","","EVICTION","G1406"
2016-04-28,42488,"19","XF004","F","","MULTI","","FPREG","Y","","","X1602"
2016-01-23,42392,"11","DP250","P","PUP","DEP","END","ADIED","N","","APRED","D1507"
2014-12-16,41989,"4B","FF208","F","AD","MULTI","","BIRTH","N","13/12/2014","","F1405"
2014-06-10,41800,"21","VM123","M","AD","","END","ADIED","N","02/06/2014","APRED",""
2014-06-25,41815,"4E","FF190","F","AD","","END","LSEEN","Y","","",""
2016-04-27,42487,"24","24P013","P","PUP","DEP","END","ADIED","N","16/04/2016","APRED","241601"
2014-05-29,41788,"11","DP240","P","PUP","DEP","START","BORN","Y","","","D1402"
2016-02-09,42409,"1H","HF248","F","AD","MULTI","","FPREG","Y","","","H1601"
2015-03-09,42072,"19","XF008","F","AD","","END","ADIED","N","27/02/2015","",""
2009-06-03,39967,"11C","DM153","M","PUP","DEP","RESTART","IMM","","","11","D0903"
2009-06-03,39967,"11C","DM077","M","AD","","RESTART","IMM","","","11","D0602"
